participant_id,onboarding_training_format,learning_effectiveness,onboarding_confidence,training_burden
CLE_1_001,Reading_Materials,4.94,4.4,5.47
CLE_1_002,Reading_Materials,4.27,3.77,5.07
CLE_1_003,Reading_Materials,3.44,3.67,5.14
CLE_1_004,Reading_Materials,3.76,4.06,5.88
CLE_1_005,Reading_Materials,4.16,4.22,5.22
CLE_1_006,Reading_Materials,2.91,3.54,6.36
CLE_1_007,Reading_Materials,3.83,4.86,6.83
CLE_1_008,Reading_Materials,4.44,3.9,4.45
CLE_1_009,Reading_Materials,4.12,2.95,5.57
CLE_1_010,Reading_Materials,4.22,4.23,5.6
CLE_1_011,Reading_Materials,4.37,2.97,5.47
CLE_1_012,Reading_Materials,4.33,4.84,5.11
CLE_1_013,Reading_Materials,3.6,4.5,5.48
CLE_1_014,Reading_Materials,4.71,3.91,4.25
CLE_1_015,Reading_Materials,3.11,3.69,5.37
CLE_1_016,Reading_Materials,4.51,3.84,5.82
CLE_1_017,Reading_Materials,2.32,3.67,5.42
CLE_1_018,Reading_Materials,4.39,3.87,5.01
CLE_1_019,Reading_Materials,4.69,3.95,4.19
CLE_1_020,Reading_Materials,2.88,3.25,5.65
CLE_1_021,Reading_Materials,3.58,2.41,5.57
CLE_1_022,Reading_Materials,4.39,3.58,5.07
CLE_1_023,Reading_Materials,3.36,2.64,6.65
CLE_1_024,Reading_Materials,3.33,4.22,5.15
CLE_1_025,Reading_Materials,4.5,3.3,4.53
CLE_1_026,Reading_Materials,3.67,4.69,4.6
CLE_1_027,Reading_Materials,2.48,4.31,4.96
CLE_1_028,Reading_Materials,4.47,3.16,5.45
CLE_1_029,Reading_Materials,3.88,4.62,4.11
CLE_1_030,Reading_Materials,3.62,5.35,5.33
CLE_1_031,Reading_Materials,3.98,3.36,4.47
CLE_1_032,Reading_Materials,3.82,3.25,5.36
CLE_1_033,Reading_Materials,3.25,4.67,4.94
CLE_1_034,Reading_Materials,3.98,2.89,4.15
CLE_1_035,Reading_Materials,3.49,3.97,5.74
CLE_1_036,Reading_Materials,3.69,3.04,5.07
CLE_1_037,Reading_Materials,3.83,3.45,6.38
CLE_1_038,Reading_Materials,4.34,3.02,5.41
CLE_1_039,Reading_Materials,4.14,3.43,3.35
CLE_1_040,Reading_Materials,2.58,3.94,4.0
CLE_1_041,Reading_Materials,3.29,5.38,5.18
CLE_1_042,Reading_Materials,4.1,3.75,3.57
CLE_1_043,Reading_Materials,3.81,3.36,4.12
CLE_1_044,Reading_Materials,3.19,2.88,5.02
CLE_1_045,Reading_Materials,4.15,3.37,4.75
CLE_1_046,Reading_Materials,3.07,3.74,4.8
CLE_1_047,Reading_Materials,3.68,3.61,5.9
CLE_1_048,Reading_Materials,3.86,3.36,4.82
CLE_1_049,Reading_Materials,3.28,3.68,6.27
CLE_1_050,Reading_Materials,2.26,3.04,5.62
CLE_2_001,Recorded_Video,4.7,3.36,4.59
CLE_2_002,Recorded_Video,4.1,3.99,3.85
CLE_2_003,Recorded_Video,4.33,4.38,4.7
CLE_2_004,Recorded_Video,3.25,3.24,6.07
CLE_2_005,Recorded_Video,4.02,3.28,4.84
CLE_2_006,Recorded_Video,4.36,2.89,4.18
CLE_2_007,Recorded_Video,3.91,3.92,3.49
CLE_2_008,Recorded_Video,4.97,3.35,4.9
CLE_2_009,Recorded_Video,4.41,3.95,5.07
CLE_2_010,Recorded_Video,3.74,4.75,3.87
CLE_2_011,Recorded_Video,4.62,4.07,5.22
CLE_2_012,Recorded_Video,3.84,4.68,5.15
CLE_2_013,Recorded_Video,2.9,4.93,3.95
CLE_2_014,Recorded_Video,3.49,5.24,5.29
CLE_2_015,Recorded_Video,4.86,3.56,3.87
CLE_2_016,Recorded_Video,3.14,4.12,4.03
CLE_2_017,Recorded_Video,4.27,4.06,4.66
CLE_2_018,Recorded_Video,3.69,2.89,5.91
CLE_2_019,Recorded_Video,4.41,4.35,4.48
CLE_2_020,Recorded_Video,4.12,3.74,4.37
CLE_2_021,Recorded_Video,4.35,4.15,4.72
CLE_2_022,Recorded_Video,3.54,4.32,4.42
CLE_2_023,Recorded_Video,3.9,3.08,4.99
CLE_2_024,Recorded_Video,5.73,3.53,5.81
CLE_2_025,Recorded_Video,4.5,4.37,4.79
CLE_2_026,Recorded_Video,3.32,3.64,3.84
CLE_2_027,Recorded_Video,3.11,3.98,5.0
CLE_2_028,Recorded_Video,3.93,4.39,3.97
CLE_2_029,Recorded_Video,5.3,4.98,5.52
CLE_2_030,Recorded_Video,4.9,3.49,5.08
CLE_2_031,Recorded_Video,3.49,3.79,3.86
CLE_2_032,Recorded_Video,4.13,3.22,4.76
CLE_2_033,Recorded_Video,3.95,3.39,5.47
CLE_2_034,Recorded_Video,4.94,5.12,3.89
CLE_2_035,Recorded_Video,4.37,3.77,4.99
CLE_2_036,Recorded_Video,4.77,3.85,4.27
CLE_2_037,Recorded_Video,4.03,3.44,4.69
CLE_2_038,Recorded_Video,4.32,4.53,5.96
CLE_2_039,Recorded_Video,4.24,5.24,4.5
CLE_2_040,Recorded_Video,3.53,4.48,5.55
CLE_2_041,Recorded_Video,4.24,5.17,5.8
CLE_2_042,Recorded_Video,3.63,4.17,4.78
CLE_2_043,Recorded_Video,5.71,5.24,4.42
CLE_2_044,Recorded_Video,5.26,4.22,4.74
CLE_2_045,Recorded_Video,4.34,4.36,4.8
CLE_2_046,Recorded_Video,4.37,2.79,4.61
CLE_2_047,Recorded_Video,3.88,3.71,5.78
CLE_2_048,Recorded_Video,4.01,4.22,4.57
CLE_2_049,Recorded_Video,2.81,4.22,4.08
CLE_2_050,Recorded_Video,4.56,3.84,4.79
CLE_3_001,Live_Workshop,5.74,4.77,4.26
CLE_3_002,Live_Workshop,3.63,4.16,5.96
CLE_3_003,Live_Workshop,5.2,3.55,3.93
CLE_3_004,Live_Workshop,4.81,4.21,3.59
CLE_3_005,Live_Workshop,4.69,3.94,4.74
CLE_3_006,Live_Workshop,4.0,4.61,4.45
CLE_3_007,Live_Workshop,5.72,4.64,4.53
CLE_3_008,Live_Workshop,4.37,2.91,3.47
CLE_3_009,Live_Workshop,3.63,6.02,4.4
CLE_3_010,Live_Workshop,4.88,3.95,4.32
CLE_3_011,Live_Workshop,3.63,5.03,4.23
CLE_3_012,Live_Workshop,5.21,3.72,5.14
CLE_3_013,Live_Workshop,4.56,4.16,5.19
CLE_3_014,Live_Workshop,4.43,4.22,4.0
CLE_3_015,Live_Workshop,4.26,5.69,4.34
CLE_3_016,Live_Workshop,2.9,4.39,4.44
CLE_3_017,Live_Workshop,4.83,5.36,4.49
CLE_3_018,Live_Workshop,3.93,4.19,5.78
CLE_3_019,Live_Workshop,5.04,4.82,4.22
CLE_3_020,Live_Workshop,3.44,5.09,4.35
CLE_3_021,Live_Workshop,5.77,2.78,4.12
CLE_3_022,Live_Workshop,4.65,3.84,5.36
CLE_3_023,Live_Workshop,4.87,3.56,4.31
CLE_3_024,Live_Workshop,5.08,4.4,3.89
CLE_3_025,Live_Workshop,4.38,4.92,4.81
CLE_3_026,Live_Workshop,4.73,4.81,5.31
CLE_3_027,Live_Workshop,5.07,4.48,4.67
CLE_3_028,Live_Workshop,4.81,2.96,3.61
CLE_3_029,Live_Workshop,5.37,5.36,4.88
CLE_3_030,Live_Workshop,5.45,3.42,5.22
CLE_3_031,Live_Workshop,4.91,5.18,3.68
CLE_3_032,Live_Workshop,5.63,4.05,3.93
CLE_3_033,Live_Workshop,4.99,3.85,4.94
CLE_3_034,Live_Workshop,4.78,4.13,4.09
CLE_3_035,Live_Workshop,5.02,4.49,4.71
CLE_3_036,Live_Workshop,3.49,5.0,3.96
CLE_3_037,Live_Workshop,5.75,5.33,5.23
CLE_3_038,Live_Workshop,4.02,5.07,4.8
CLE_3_039,Live_Workshop,3.45,4.54,4.86
CLE_3_040,Live_Workshop,5.68,5.14,5.14
CLE_3_041,Live_Workshop,4.72,4.87,5.12
CLE_3_042,Live_Workshop,4.47,5.07,3.05
CLE_3_043,Live_Workshop,4.04,4.51,3.11
CLE_3_044,Live_Workshop,4.67,4.88,4.97
CLE_3_045,Live_Workshop,4.4,4.93,3.92
CLE_3_046,Live_Workshop,4.64,4.15,3.34
CLE_3_047,Live_Workshop,5.12,4.83,4.5
CLE_3_048,Live_Workshop,4.59,4.66,4.37
CLE_3_049,Live_Workshop,5.84,4.06,4.14
CLE_3_050,Live_Workshop,4.49,4.69,4.31
CLE_4_001,Mentor_Guided,4.06,4.76,3.45
CLE_4_002,Mentor_Guided,4.22,4.84,4.39
CLE_4_003,Mentor_Guided,4.5,4.99,3.08
CLE_4_004,Mentor_Guided,5.05,4.28,4.2
CLE_4_005,Mentor_Guided,6.15,5.51,3.71
CLE_4_006,Mentor_Guided,4.99,5.14,2.61
CLE_4_007,Mentor_Guided,5.55,6.4,2.02
CLE_4_008,Mentor_Guided,4.05,5.69,4.64
CLE_4_009,Mentor_Guided,3.88,4.44,4.12
CLE_4_010,Mentor_Guided,4.58,4.37,4.48
CLE_4_011,Mentor_Guided,4.59,6.23,3.35
CLE_4_012,Mentor_Guided,4.54,5.46,3.49
CLE_4_013,Mentor_Guided,6.47,5.39,3.93
CLE_4_014,Mentor_Guided,5.96,4.45,3.09
CLE_4_015,Mentor_Guided,5.07,4.75,3.48
CLE_4_016,Mentor_Guided,4.79,4.17,4.13
CLE_4_017,Mentor_Guided,4.38,5.4,4.02
CLE_4_018,Mentor_Guided,4.72,5.02,4.03
CLE_4_019,Mentor_Guided,5.28,5.46,3.34
CLE_4_020,Mentor_Guided,5.8,4.47,4.43
CLE_4_021,Mentor_Guided,5.36,5.66,4.32
CLE_4_022,Mentor_Guided,5.21,5.49,3.44
CLE_4_023,Mentor_Guided,4.5,5.26,4.79
CLE_4_024,Mentor_Guided,4.02,5.37,3.74
CLE_4_025,Mentor_Guided,5.73,5.4,3.84
CLE_4_026,Mentor_Guided,4.77,3.68,3.24
CLE_4_027,Mentor_Guided,5.37,3.39,3.77
CLE_4_028,Mentor_Guided,4.93,6.04,4.04
CLE_4_029,Mentor_Guided,5.49,5.54,4.38
CLE_4_030,Mentor_Guided,4.29,4.03,3.74
CLE_4_031,Mentor_Guided,5.18,4.77,4.85
CLE_4_032,Mentor_Guided,4.45,4.82,4.31
CLE_4_033,Mentor_Guided,4.77,6.57,3.69
CLE_4_034,Mentor_Guided,5.24,5.61,5.48
CLE_4_035,Mentor_Guided,4.6,4.71,3.22
CLE_4_036,Mentor_Guided,5.01,5.2,4.14
CLE_4_037,Mentor_Guided,3.9,4.23,5.07
CLE_4_038,Mentor_Guided,4.68,5.42,2.82
CLE_4_039,Mentor_Guided,5.38,5.69,4.84
CLE_4_040,Mentor_Guided,4.36,4.94,2.94
CLE_4_041,Mentor_Guided,5.1,5.67,4.42
CLE_4_042,Mentor_Guided,5.36,4.92,4.5
CLE_4_043,Mentor_Guided,4.75,4.99,4.77
CLE_4_044,Mentor_Guided,4.25,5.37,3.66
CLE_4_045,Mentor_Guided,4.1,5.58,3.16
CLE_4_046,Mentor_Guided,5.97,4.7,3.07
CLE_4_047,Mentor_Guided,5.25,6.21,3.95
CLE_4_048,Mentor_Guided,5.48,5.94,2.59
CLE_4_049,Mentor_Guided,4.9,6.03,3.45
CLE_4_050,Mentor_Guided,5.63,4.16,3.75
