participant_id,service_support_tool,resolution_efficiency,service_confidence,cognitive_load
UNE_1_001,No_Tool,3.58,3.58,5.78
UNE_1_002,No_Tool,3.72,3.78,5.15
UNE_1_003,No_Tool,3.39,3.85,5.38
UNE_1_004,No_Tool,3.94,3.95,5.85
UNE_1_005,No_Tool,4.1,4.1,4.83
UNE_1_006,No_Tool,3.76,3.63,5.23
UNE_1_007,No_Tool,4.1,3.36,5.02
UNE_1_008,No_Tool,4.2,3.4,5.39
UNE_1_009,No_Tool,4.02,4.05,5.24
UNE_1_010,No_Tool,3.4,3.51,5.6
UNE_1_011,No_Tool,4.6,3.74,5.73
UNE_1_012,No_Tool,4.38,3.63,5.62
UNE_1_013,No_Tool,3.89,3.55,5.3
UNE_1_014,No_Tool,3.52,3.36,5.49
UNE_1_015,No_Tool,4.19,3.73,5.26
UNE_1_016,No_Tool,3.78,4.1,5.11
UNE_1_017,No_Tool,3.74,4.13,4.78
UNE_1_018,No_Tool,4.27,4.37,5.17
UNE_1_019,No_Tool,4.22,4.06,5.56
UNE_1_020,No_Tool,3.84,4.41,5.41
UNE_1_021,No_Tool,3.7,4.26,4.79
UNE_1_022,No_Tool,5.05,3.39,4.93
UNE_1_023,No_Tool,3.71,4.06,5.73
UNE_1_024,No_Tool,3.81,4.43,4.71
UNE_1_025,No_Tool,3.78,3.87,5.53
UNE_1_026,No_Tool,3.88,3.6,5.17
UNE_1_027,No_Tool,4.21,3.86,5.49
UNE_1_028,No_Tool,4.16,3.8,5.11
UNE_1_029,No_Tool,3.39,3.73,5.3
UNE_1_030,No_Tool,4.26,3.84,5.52
UNE_1_031,No_Tool,3.94,3.52,5.46
UNE_1_032,No_Tool,4.53,3.98,5.37
UNE_1_033,No_Tool,4.44,3.67,5.26
UNE_1_034,No_Tool,3.58,3.86,5.44
UNE_1_035,No_Tool,3.96,4.15,5.08
UNE_1_036,No_Tool,4.04,4.4,5.23
UNE_1_037,No_Tool,3.78,4.25,5.34
UNE_1_038,No_Tool,3.63,4.11,4.91
UNE_1_039,No_Tool,3.67,3.99,5.8
UNE_1_040,No_Tool,3.38,3.73,5.57
UNE_1_041,No_Tool,3.97,4.37,5.03
UNE_1_042,No_Tool,3.05,3.87,4.44
UNE_1_043,No_Tool,3.83,3.3,5.06
UNE_1_044,No_Tool,3.64,3.69,5.94
UNE_1_045,No_Tool,3.79,3.46,5.4
UNE_1_046,No_Tool,3.58,3.45,5.39
UNE_1_047,No_Tool,4.52,4.07,5.05
UNE_1_048,No_Tool,3.56,3.94,5.69
UNE_1_049,No_Tool,4.31,4.12,5.46
UNE_1_050,No_Tool,3.96,4.02,5.27
UNE_2_001,Knowledge_Base,4.49,4.64,5.1
UNE_2_002,Knowledge_Base,4.58,4.15,4.3
UNE_2_003,Knowledge_Base,4.31,4.43,4.0
UNE_2_004,Knowledge_Base,5.16,4.4,5.06
UNE_2_005,Knowledge_Base,3.73,4.83,4.3
UNE_2_006,Knowledge_Base,4.97,4.31,5.45
UNE_2_007,Knowledge_Base,3.88,4.48,4.89
UNE_2_008,Knowledge_Base,3.33,4.48,4.24
UNE_2_009,Knowledge_Base,4.81,4.15,5.25
UNE_2_010,Knowledge_Base,4.65,4.76,4.89
UNE_2_011,Knowledge_Base,4.31,3.49,4.37
UNE_2_012,Knowledge_Base,4.17,4.41,4.13
UNE_2_013,Knowledge_Base,4.28,3.98,4.96
UNE_2_014,Knowledge_Base,3.71,4.48,5.64
UNE_2_015,Knowledge_Base,4.58,4.21,4.87
UNE_2_016,Knowledge_Base,3.75,4.07,4.16
UNE_2_017,Knowledge_Base,3.78,4.07,4.23
UNE_2_018,Knowledge_Base,4.37,4.3,3.75
UNE_2_019,Knowledge_Base,4.47,4.27,5.0
UNE_2_020,Knowledge_Base,4.4,4.07,4.96
UNE_2_021,Knowledge_Base,4.7,3.36,5.24
UNE_2_022,Knowledge_Base,4.18,4.31,4.78
UNE_2_023,Knowledge_Base,4.14,3.83,4.93
UNE_2_024,Knowledge_Base,4.11,4.78,5.52
UNE_2_025,Knowledge_Base,4.1,4.24,4.56
UNE_2_026,Knowledge_Base,3.77,4.18,3.9
UNE_2_027,Knowledge_Base,5.22,4.09,5.55
UNE_2_028,Knowledge_Base,3.54,3.79,5.39
UNE_2_029,Knowledge_Base,4.33,4.35,4.5
UNE_2_030,Knowledge_Base,4.39,3.86,5.6
UNE_2_031,Knowledge_Base,4.28,3.04,4.99
UNE_2_032,Knowledge_Base,4.38,4.36,4.84
UNE_2_033,Knowledge_Base,4.97,4.97,4.7
UNE_2_034,Knowledge_Base,4.02,4.5,4.53
UNE_2_035,Knowledge_Base,4.17,3.68,4.16
UNE_2_036,Knowledge_Base,4.0,4.9,4.61
UNE_2_037,Knowledge_Base,3.47,4.91,4.85
UNE_2_038,Knowledge_Base,5.35,4.64,5.52
UNE_2_039,Knowledge_Base,3.99,4.85,5.65
UNE_2_040,Knowledge_Base,4.11,3.93,4.62
UNE_2_041,Knowledge_Base,4.38,5.46,4.07
UNE_2_042,Knowledge_Base,4.47,3.89,5.2
UNE_2_043,Knowledge_Base,4.1,4.28,5.35
UNE_2_044,Knowledge_Base,4.42,4.85,4.54
UNE_2_045,Knowledge_Base,4.41,4.62,4.19
UNE_2_046,Knowledge_Base,4.89,4.65,4.42
UNE_2_047,Knowledge_Base,4.0,4.1,4.77
UNE_2_048,Knowledge_Base,4.27,4.07,5.91
UNE_2_049,Knowledge_Base,5.24,4.21,5.12
UNE_2_050,Knowledge_Base,4.71,4.23,5.07
UNE_3_001,Chatbot_Copilot,3.89,5.08,4.99
UNE_3_002,Chatbot_Copilot,4.47,5.62,4.62
UNE_3_003,Chatbot_Copilot,4.77,5.26,3.09
UNE_3_004,Chatbot_Copilot,3.97,4.73,3.33
UNE_3_005,Chatbot_Copilot,4.13,6.23,3.78
UNE_3_006,Chatbot_Copilot,5.69,4.69,4.85
UNE_3_007,Chatbot_Copilot,4.32,3.02,4.8
UNE_3_008,Chatbot_Copilot,5.0,3.82,4.16
UNE_3_009,Chatbot_Copilot,5.13,3.81,4.6
UNE_3_010,Chatbot_Copilot,4.9,4.51,2.85
UNE_3_011,Chatbot_Copilot,4.14,4.33,5.61
UNE_3_012,Chatbot_Copilot,4.14,5.12,3.29
UNE_3_013,Chatbot_Copilot,5.52,3.96,5.49
UNE_3_014,Chatbot_Copilot,5.4,5.28,4.6
UNE_3_015,Chatbot_Copilot,4.88,6.39,5.23
UNE_3_016,Chatbot_Copilot,3.78,4.61,2.69
UNE_3_017,Chatbot_Copilot,4.48,3.42,4.67
UNE_3_018,Chatbot_Copilot,5.53,5.51,4.54
UNE_3_019,Chatbot_Copilot,4.52,4.67,3.82
UNE_3_020,Chatbot_Copilot,4.85,5.65,4.06
UNE_3_021,Chatbot_Copilot,4.14,5.35,4.34
UNE_3_022,Chatbot_Copilot,4.23,5.23,4.51
UNE_3_023,Chatbot_Copilot,5.13,5.37,3.95
UNE_3_024,Chatbot_Copilot,3.96,4.65,4.38
UNE_3_025,Chatbot_Copilot,5.43,3.95,3.85
UNE_3_026,Chatbot_Copilot,5.3,4.55,4.82
UNE_3_027,Chatbot_Copilot,4.81,4.06,4.12
UNE_3_028,Chatbot_Copilot,4.95,4.97,5.11
UNE_3_029,Chatbot_Copilot,5.43,4.73,5.34
UNE_3_030,Chatbot_Copilot,2.68,4.99,4.12
UNE_3_031,Chatbot_Copilot,4.95,4.47,4.07
UNE_3_032,Chatbot_Copilot,5.8,4.41,3.88
UNE_3_033,Chatbot_Copilot,5.46,4.07,5.89
UNE_3_034,Chatbot_Copilot,6.65,4.83,4.86
UNE_3_035,Chatbot_Copilot,5.56,5.45,5.3
UNE_3_036,Chatbot_Copilot,5.89,3.43,4.52
UNE_3_037,Chatbot_Copilot,5.79,6.85,3.05
UNE_3_038,Chatbot_Copilot,5.58,5.37,4.82
UNE_3_039,Chatbot_Copilot,5.43,5.8,6.03
UNE_3_040,Chatbot_Copilot,4.2,3.63,4.17
UNE_3_041,Chatbot_Copilot,5.29,4.78,6.02
UNE_3_042,Chatbot_Copilot,6.33,3.34,3.9
UNE_3_043,Chatbot_Copilot,6.18,3.02,3.96
UNE_3_044,Chatbot_Copilot,4.04,4.26,2.94
UNE_3_045,Chatbot_Copilot,5.17,4.0,3.73
UNE_3_046,Chatbot_Copilot,4.3,4.46,4.06
UNE_3_047,Chatbot_Copilot,4.68,4.85,3.71
UNE_3_048,Chatbot_Copilot,5.55,4.24,5.01
UNE_3_049,Chatbot_Copilot,4.88,3.91,4.15
UNE_3_050,Chatbot_Copilot,4.8,4.39,3.79
UNE_4_001,Agent_Copilot,4.86,4.04,6.13
UNE_4_002,Agent_Copilot,2.98,5.44,5.08
UNE_4_003,Agent_Copilot,6.29,5.5,2.51
UNE_4_004,Agent_Copilot,6.27,5.77,5.12
UNE_4_005,Agent_Copilot,4.79,4.53,4.74
UNE_4_006,Agent_Copilot,2.59,4.58,3.84
UNE_4_007,Agent_Copilot,7.0,5.99,5.46
UNE_4_008,Agent_Copilot,5.86,5.24,4.72
UNE_4_009,Agent_Copilot,5.41,5.0,1.96
UNE_4_010,Agent_Copilot,4.11,4.66,6.6
UNE_4_011,Agent_Copilot,4.97,7.0,3.58
UNE_4_012,Agent_Copilot,6.47,5.5,2.67
UNE_4_013,Agent_Copilot,5.36,3.44,4.54
UNE_4_014,Agent_Copilot,6.57,5.4,3.28
UNE_4_015,Agent_Copilot,5.05,3.78,3.3
UNE_4_016,Agent_Copilot,4.13,4.7,3.15
UNE_4_017,Agent_Copilot,5.61,4.4,3.48
UNE_4_018,Agent_Copilot,5.17,4.27,3.76
UNE_4_019,Agent_Copilot,5.99,5.72,5.66
UNE_4_020,Agent_Copilot,3.96,3.8,3.18
UNE_4_021,Agent_Copilot,4.59,5.7,1.33
UNE_4_022,Agent_Copilot,4.66,4.04,3.73
UNE_4_023,Agent_Copilot,5.4,7.0,1.9
UNE_4_024,Agent_Copilot,7.0,6.32,2.81
UNE_4_025,Agent_Copilot,4.0,5.28,4.24
UNE_4_026,Agent_Copilot,7.0,5.48,5.09
UNE_4_027,Agent_Copilot,6.63,6.68,2.64
UNE_4_028,Agent_Copilot,4.45,6.49,4.18
UNE_4_029,Agent_Copilot,6.71,5.91,4.26
UNE_4_030,Agent_Copilot,6.26,4.79,2.85
UNE_4_031,Agent_Copilot,4.96,5.49,5.28
UNE_4_032,Agent_Copilot,4.51,6.32,3.86
UNE_4_033,Agent_Copilot,5.97,3.82,3.46
UNE_4_034,Agent_Copilot,4.83,5.73,2.04
UNE_4_035,Agent_Copilot,4.78,6.25,4.07
UNE_4_036,Agent_Copilot,6.5,5.68,3.59
UNE_4_037,Agent_Copilot,5.71,5.87,4.62
UNE_4_038,Agent_Copilot,6.71,4.88,2.72
UNE_4_039,Agent_Copilot,6.14,3.86,2.39
UNE_4_040,Agent_Copilot,6.98,5.44,4.92
UNE_4_041,Agent_Copilot,6.07,5.65,3.66
UNE_4_042,Agent_Copilot,6.47,5.88,3.64
UNE_4_043,Agent_Copilot,4.81,5.7,4.62
UNE_4_044,Agent_Copilot,6.24,3.89,3.25
UNE_4_045,Agent_Copilot,4.58,4.62,3.08
UNE_4_046,Agent_Copilot,5.69,4.69,4.56
UNE_4_047,Agent_Copilot,3.46,3.96,3.44
UNE_4_048,Agent_Copilot,3.9,4.18,4.97
UNE_4_049,Agent_Copilot,5.25,4.99,1.78
UNE_4_050,Agent_Copilot,5.99,4.46,2.92
